Mun,Candidato,Ano,Cargo,NumVotos,percCidade,Partido,Cassado
AGUDO,OCTAVIO BADUI GERMANO,1974,DEPUTADO FEDERAL,2139,"0,36%",ARENA,0
AGUDO,ANTONIO BRESOLIN,1974,DEPUTADO FEDERAL,1393,"0,23%",MDB,0
AGUDO,HARRY ALZIRO SAUER,1974,DEPUTADO FEDERAL,486,"0,08%",MDB,0
AGUDO,VOTOS EM BRANCO,1974,DEPUTADO FEDERAL,399,"0,07%",BRANCO,0
AGUDO,ANTONIO CARLOS ROSA FLORES,1974,DEPUTADO FEDERAL,273,"0,05%",MDB,0
AGUDO,JETHRO JAIRO DE MACEDO BRUM,1974,DEPUTADO FEDERAL,228,"0,04%",MDB,0
AGUDO,NORBERTO HARALD SCHMIDT,1974,DEPUTADO FEDERAL,181,"0,03%",ARENA,0
AGUDO,VOTOS NULOS,1974,DEPUTADO FEDERAL,131,"0,02%",NULO,0
AGUDO,LEO BERNHARD RIFFEL,1974,DEPUTADO FEDERAL,112,"0,02%",MDB,0
AGUDO,ALBERTO HOFFMANN,1974,DEPUTADO FEDERAL,96,"0,02%",ARENA,0
AGUDO,DANIEL AGOSTINHO FARACO,1974,DEPUTADO FEDERAL,70,"0,01%",ARENA,0
AGUDO,LEGENDA MDB,1974,DEPUTADO FEDERAL,67,"0,01%",MDB,0
AGUDO,JOAO GILBERTO LUCAS COELHO,1974,DEPUTADO FEDERAL,59,"0,01%",MDB,0
AGUDO,ODACIR KLEIN,1974,DEPUTADO FEDERAL,51,"0,01%",MDB,0
AGUDO,ALDO DA SILVA FAGUNDES,1974,DEPUTADO FEDERAL,42,"0,01%",MDB,0
AGUDO,VASCO AMARO DA SILVEIRA FILHO,1974,DEPUTADO FEDERAL,40,"0,01%",ARENA,0
AGUDO,LIDOVINO ANTONIO FANTON,1974,DEPUTADO FEDERAL,30,"0,01%",MDB,0
AGUDO,NELSON MARCHEZAN,1974,DEPUTADO FEDERAL,27,"0,00%",ARENA,0
AGUDO,AMAURY MULLER,1974,DEPUTADO FEDERAL,22,"0,00%",MDB,0
AGUDO,NADYR ROSSETI,1974,DEPUTADO FEDERAL,21,"0,00%",MDB,0
AGUDO,DULPHE PINHEIRO MACHADO FILHO,1974,DEPUTADO FEDERAL,18,"0,00%",MDB,0
AGUDO,LEGENDA ARENA,1974,DEPUTADO FEDERAL,17,"0,00%",ARENA,0
AGUDO,JOAO BELCHIOR LOUREIRO,1974,DEPUTADO FEDERAL,13,"0,00%",ARENA,0
AGUDO,MARIA JUSSARA GAUTO GUARIGLIA,1974,DEPUTADO FEDERAL,13,"0,00%",MDB,0
AGUDO,PAULO NUNES LEAL,1974,DEPUTADO FEDERAL,9,"0,00%",ARENA,0
AGUDO,ALCEU DE DEUS COLLARES,1974,DEPUTADO FEDERAL,9,"0,00%",MDB,0
AGUDO,ALEXANDRE MACHADO DA SILVA,1974,DEPUTADO FEDERAL,6,"0,00%",ARENA,0
AGUDO,ALUIZIO PARAGUASSU FERREIRA,1974,DEPUTADO FEDERAL,6,"0,00%",MDB,0
AGUDO,FERNANDO GONCALVES,1974,DEPUTADO FEDERAL,5,"0,00%",ARENA,0
AGUDO,ROBERTO JAEGER,1974,DEPUTADO FEDERAL,5,"0,00%",ARENA,0
AGUDO,LAURO PEREIRA RODRIGUES,1974,DEPUTADO FEDERAL,5,"0,00%",MDB,0
AGUDO,ARTHUR BACCHINI,1974,DEPUTADO FEDERAL,4,"0,00%",ARENA,0
AGUDO,CID FURTADO,1974,DEPUTADO FEDERAL,3,"0,00%",ARENA,0
AGUDO,MARIO GARDELIN,1974,DEPUTADO FEDERAL,3,"0,00%",ARENA,0
AGUDO,DARCI JOSE CORBELLINI,1974,DEPUTADO FEDERAL,3,"0,00%",MDB,0
AGUDO,FERES JORGE ROCHA E SILVA UEQUED,1974,DEPUTADO FEDERAL,3,"0,00%",MDB,0
AGUDO,PAULO EDUARDO STEINHAUS,1974,DEPUTADO FEDERAL,3,"0,00%",MDB,0
AGUDO,CARLOS ROBERTO CORTESE DIHL,1974,DEPUTADO FEDERAL,2,"0,00%",ARENA,0
AGUDO,HUGO SIMOES LAGRANHA,1974,DEPUTADO FEDERAL,2,"0,00%",ARENA,0
AGUDO,REMI MOLIN,1974,DEPUTADO FEDERAL,2,"0,00%",ARENA,0
AGUDO,GERALDO GUIMARAES LINDGREN,1974,DEPUTADO FEDERAL,2,"0,00%",MDB,0
AGUDO,JOSE MANDELLI FILHO,1974,DEPUTADO FEDERAL,2,"0,00%",MDB,0
AGUDO,ARMANDO BARBOSA BRAGA,1974,DEPUTADO FEDERAL,2,"0,00%",MDB,0
AGUDO,GLENIO MATIAS GOMES PEREZ,1974,DEPUTADO FEDERAL,2,"0,00%",MDB,0
AGUDO,MAGNUS FRANCISCO ANTUNES GUIMARAES,1974,DEPUTADO FEDERAL,2,"0,00%",MDB,0
AGUDO,JOSE ARLINDO KUNZLER,1974,DEPUTADO FEDERAL,1,"0,00%",ARENA,0
AGUDO,OCTAVIO OMAR CARDOSO,1974,DEPUTADO FEDERAL,1,"0,00%",ARENA,0
AGUDO,MARIO MONDINO,1974,DEPUTADO FEDERAL,1,"0,00%",ARENA,0
AGUDO,ELOY LENZI,1974,DEPUTADO FEDERAL,1,"0,00%",MDB,0
AGUDO,CARLOS DA SILVA SANTOS,1974,DEPUTADO FEDERAL,1,"0,00%",MDB,0
AJURICABA,FERNANDO GONCALVES,1974,DEPUTADO FEDERAL,865,"0,23%",ARENA,0
AJURICABA,ALBERTO HOFFMANN,1974,DEPUTADO FEDERAL,828,"0,22%",ARENA,0
AJURICABA,ANTONIO BRESOLIN,1974,DEPUTADO FEDERAL,667,"0,18%",MDB,0
AJURICABA,AMAURY MULLER,1974,DEPUTADO FEDERAL,530,"0,14%",MDB,0
AJURICABA,VOTOS EM BRANCO,1974,DEPUTADO FEDERAL,465,"0,12%",BRANCO,0
AJURICABA,VOTOS NULOS,1974,DEPUTADO FEDERAL,199,"0,05%",NULO,0
AJURICABA,LEGENDA ARENA,1974,DEPUTADO FEDERAL,64,"0,02%",ARENA,0
AJURICABA,LEGENDA MDB,1974,DEPUTADO FEDERAL,35,"0,01%",MDB,0
AJURICABA,NELSON MARCHEZAN,1974,DEPUTADO FEDERAL,22,"0,01%",ARENA,0
AJURICABA,CLOVIS  PESTANA,1974,DEPUTADO FEDERAL,21,"0,01%",ARENA,0
AJURICABA,ALEXANDRE MACHADO DA SILVA,1974,DEPUTADO FEDERAL,17,"0,00%",ARENA,0
