Mun,Candidato,Ano,Cargo,NumVotos,percCidade,Partido,Cassado
RIO GRANDE,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,7462,"0,23%",PTB,0
PORTO ALEGRE,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,4550,"0,02%",PTB,0
SAO GABRIEL,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,2251,"0,19%",PTB,0
PELOTAS,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,1679,"0,03%",PTB,0
URUGUAIANA,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,810,"0,04%",PTB,0
SANTA MARIA,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,766,"0,02%",PTB,0
SAO JOSE DO NORTE,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,731,"0,13%",PTB,0
JAGUARAO,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,428,"0,07%",PTB,0
CACAPAVA DO SUL,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,424,"0,05%",PTB,0
MARCELINO RAMOS,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,397,"0,12%",PTB,0
MONTENEGRO,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,311,"0,01%",PTB,0
NOVO HAMBURGO,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,300,"0,01%",PTB,0
PEDRO OSORIO,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,298,"0,09%",PTB,0
SANTA VITORIA DO PALMAR,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,296,"0,07%",PTB,0
SANTO ANGELO,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,234,"0,01%",PTB,0
BAGE,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,231,"0,01%",PTB,0
SAO LOURENCO DO SUL,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,210,"0,02%",PTB,0
NONOAI,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,193,"0,04%",PTB,0
PIRATINI,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,164,"0,04%",PTB,0
ENCANTADO,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,154,"0,01%",PTB,0
VACARIA,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,141,"0,01%",PTB,0
CANOAS,ADILIO MARTINS VIANNA,1962,DEPUTADO FEDERAL,138,"0,00%",PTB,0
