Mun,Candidato,Ano,Cargo,NumVotos,percCidade,Partido,Cassado
ALVORADA,ABIO HERVE,1966,DEPUTADO FEDERAL,16,00%,ARENA,0
ARROIO DOS RATOS,ABIO HERVE,1966,DEPUTADO FEDERAL,4,00%,ARENA,0
BAGE,ABIO HERVE,1966,DEPUTADO FEDERAL,42,00%,ARENA,0
BARRA DO RIBEIRO,ABIO HERVE,1966,DEPUTADO FEDERAL,4,00%,ARENA,0
CACAPAVA DO SUL,ABIO HERVE,1966,DEPUTADO FEDERAL,2,00%,ARENA,0
CACEQUI,ABIO HERVE,1966,DEPUTADO FEDERAL,3,00%,ARENA,0
CACHOEIRA DO SUL,ABIO HERVE,1966,DEPUTADO FEDERAL,13,00%,ARENA,0
CACHOEIRINHA,ABIO HERVE,1966,DEPUTADO FEDERAL,10,00%,ARENA,0
CAMAQUA,ABIO HERVE,1966,DEPUTADO FEDERAL,4,00%,ARENA,0
CAMBARA DO SUL,ABIO HERVE,1966,DEPUTADO FEDERAL,1,00%,ARENA,0
CAMPO BOM,ABIO HERVE,1966,DEPUTADO FEDERAL,2,00%,ARENA,0
CANOAS,ABIO HERVE,1966,DEPUTADO FEDERAL,78,00%,ARENA,0
CASCA,ABIO HERVE,1966,DEPUTADO FEDERAL,1,00%,ARENA,0
CAXIAS DO SUL,ABIO HERVE,1966,DEPUTADO FEDERAL,9,00%,ARENA,0
CRUZ ALTA,ABIO HERVE,1966,DEPUTADO FEDERAL,2,00%,ARENA,0
ENCRUZILHADA DO SUL,ABIO HERVE,1966,DEPUTADO FEDERAL,42,01%,ARENA,0
ESTANCIA VELHA,ABIO HERVE,1966,DEPUTADO FEDERAL,4,00%,ARENA,0
ESTEIO,ABIO HERVE,1966,DEPUTADO FEDERAL,13,00%,ARENA,0
ESTRELA,ABIO HERVE,1966,DEPUTADO FEDERAL,1,00%,ARENA,0
FORMIGUEIRO,ABIO HERVE,1966,DEPUTADO FEDERAL,2,00%,ARENA,0
FREDERICO WESTPHALEN,ABIO HERVE,1966,DEPUTADO FEDERAL,22,00%,ARENA,0
GENERAL CAMARA,ABIO HERVE,1966,DEPUTADO FEDERAL,15,01%,ARENA,0
GIRUA,ABIO HERVE,1966,DEPUTADO FEDERAL,4,00%,ARENA,0
GRAMADO,ABIO HERVE,1966,DEPUTADO FEDERAL,436,12%,ARENA,0
GRAVATAI,ABIO HERVE,1966,DEPUTADO FEDERAL,17,00%,ARENA,0
GUAIBA,ABIO HERVE,1966,DEPUTADO FEDERAL,33,00%,ARENA,0
JULIO DE CASTILHOS,ABIO HERVE,1966,DEPUTADO FEDERAL,1,00%,ARENA,0
MATA,ABIO HERVE,1966,DEPUTADO FEDERAL,2,00%,ARENA,0
MONTENEGRO,ABIO HERVE,1966,DEPUTADO FEDERAL,6,00%,ARENA,0
MOSTARDAS,ABIO HERVE,1966,DEPUTADO FEDERAL,4,00%,ARENA,0
NOVA PALMA,ABIO HERVE,1966,DEPUTADO FEDERAL,9,00%,ARENA,0
NOVA PRATA,ABIO HERVE,1966,DEPUTADO FEDERAL,1,00%,ARENA,0
NOVO HAMBURGO,ABIO HERVE,1966,DEPUTADO FEDERAL,24,00%,ARENA,0
PALMITINHO,ABIO HERVE,1966,DEPUTADO FEDERAL,2,00%,ARENA,0
PASSO FUNDO,ABIO HERVE,1966,DEPUTADO FEDERAL,13,00%,ARENA,0
