Mun,Candidato,Ano,Cargo,NumVotos,percCidade,Partido,Cassado
AGUDO,SIEGFRIED EMANUEL HEUSER,1982,DEPUTADO FEDERAL,2131,"0,28%",PMDB,0
AGUDO,TELMO JOSE KIRST,1982,DEPUTADO FEDERAL,1722,"0,23%",PDS,0
AGUDO,JOAO GILBERTO LUCAS COELHO,1982,DEPUTADO FEDERAL,856,"0,11%",PMDB,0
AGUDO,PEDRO CHAFIK GERMANO,1982,DEPUTADO FEDERAL,585,"0,08%",PDS,0
AGUDO,VOTOS EM BRANCO,1982,DEPUTADO FEDERAL,570,"0,08%",BRANCO,0
AGUDO,JOSE HUGO MARDINI,1982,DEPUTADO FEDERAL,428,"0,06%",PDS,0
AGUDO,NELSON MARCHEZAN,1982,DEPUTADO FEDERAL,298,"0,04%",PDS,0
AGUDO,HANS WILHELM CREMER,1982,DEPUTADO FEDERAL,211,"0,03%",PMDB,0
AGUDO,VOTOS NULOS,1982,DEPUTADO FEDERAL,124,"0,02%",NULO,0
AGUDO,OLY ERICO DA COSTA FACCHIN,1982,DEPUTADO FEDERAL,77,"0,01%",PDS,0
AGUDO,SYNVAL SEBASTIAO DUARTE GUAZZELI,1982,DEPUTADO FEDERAL,72,"0,01%",PMDB,0
AGUDO,BALTHAZAR DE BEM E CANTO,1982,DEPUTADO FEDERAL,44,"0,01%",PDS,0
AGUDO,HERMES ZANETI,1982,DEPUTADO FEDERAL,42,"0,01%",PMDB,0
AGUDO,VICTOR JOSE FACCIONI,1982,DEPUTADO FEDERAL,38,"0,01%",PDS,0
AGUDO,TULIO BARCELLOS,1982,DEPUTADO FEDERAL,33,"0,00%",PDS,0
AGUDO,CLOVIS STENZEL,1982,DEPUTADO FEDERAL,29,"0,00%",PDS,0
AGUDO,JOSE MARIANO DA ROCHA FILHO,1982,DEPUTADO FEDERAL,26,"0,00%",PDS,0
AGUDO,MARCUS VINICIUS PRATINI DE MORAES,1982,DEPUTADO FEDERAL,25,"0,00%",PDS,0
AGUDO,JOSE ALBERTO FOGACA DE MEDEIROS,1982,DEPUTADO FEDERAL,17,"0,00%",PMDB,0
AGUDO,VASCO AMARO DA SILVEIRA FILHO,1982,DEPUTADO FEDERAL,14,"0,00%",PDS,0
AGUDO,JOSE ARLINDO KUNZLER,1982,DEPUTADO FEDERAL,10,"0,00%",PDS,0
AGUDO,EMIDIO ODOSIO PERONDI,1982,DEPUTADO FEDERAL,10,"0,00%",PDS,0
AGUDO,JAHIR SOUZA PINTO,1982,DEPUTADO FEDERAL,10,"0,00%",PDS,0
AGUDO,REGINA FAVIERO DREYER,1982,DEPUTADO FEDERAL,9,"0,00%",PDS,0
AGUDO,IRINEU COLATO,1982,DEPUTADO FEDERAL,9,"0,00%",PDS,0
AGUDO,MARIA JUSSARA GAUTO GUARIGLIA,1982,DEPUTADO FEDERAL,8,"0,00%",PMDB,0
AGUDO,ALDO DA SILVA FAGUNDES,1982,DEPUTADO FEDERAL,7,"0,00%",PMDB,0
AGUDO,HELIO DOURADO,1982,DEPUTADO FEDERAL,7,"0,00%",PDS,0
AGUDO,JOAO PEREIRA NETO,1982,DEPUTADO FEDERAL,6,"0,00%",PMDB,0
AGUDO,DARCY POZZA,1982,DEPUTADO FEDERAL,6,"0,00%",PDS,0
AGUDO,JULIO COSTAMILAN,1982,DEPUTADO FEDERAL,5,"0,00%",PMDB,0
AGUDO,IRAJA ANDARA RODRIGUES,1982,DEPUTADO FEDERAL,5,"0,00%",PMDB,0
AGUDO,IRINEU LUIZ WOLKWEIS,1982,DEPUTADO FEDERAL,5,"0,00%",PDS,0
AGUDO,LEGENDA PDS,1982,DEPUTADO FEDERAL,5,"0,00%",PDS,0
AGUDO,JETHRO JAIRO DE MACEDO BRUM,1982,DEPUTADO FEDERAL,4,"0,00%",PMDB,0
AGUDO,ANTONIO CARLOS ROSA FLORES,1982,DEPUTADO FEDERAL,4,"0,00%",PMDB,0
AGUDO,ARY RODRIGUES ALCANTARA,1982,DEPUTADO FEDERAL,4,"0,00%",PDS,0
AGUDO,AUGUSTO TREIN,1982,DEPUTADO FEDERAL,4,"0,00%",PDS,0
AGUDO,JOSE ALCEBIADES DE OLIVEIRA,1982,DEPUTADO FEDERAL,4,"0,00%",PDS,0
AGUDO,JOSE BONIFACIO CARDOSO FREGAPANI,1982,DEPUTADO FEDERAL,3,"0,00%",PMDB,0
AGUDO,ANTONIO PINHEIRO MACHADO NETTO,1982,DEPUTADO FEDERAL,3,"0,00%",PMDB,0
AGUDO,PAULO MINCARONE,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,1
AGUDO,EGIDIO ALFREDO SCHLABITZ,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,0
AGUDO,IBSEN VALLS PINHEIRO,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,0
AGUDO,ROMULO BRASIL,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,0
AGUDO,ARNALDO DA COSTA PRIETO,1982,DEPUTADO FEDERAL,2,"0,00%",PDS,0
AGUDO,PAULO ROBERTO BRIAO FERREIRA,1982,DEPUTADO FEDERAL,2,"0,00%",PT,0
AGUDO,HARRY ALZIRO SAUER,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,ELOAR GUAZZELLI,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,WALDIR WALTER,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,EDIR PEDRO DE OLIVEIRA,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,LELIO MIGUEL ANTUNES DE SOUZA,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,LUCENIR POHLMANN,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,RICARDO BALDINO E SOUZA,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,RUY GERMANO NEDEL,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,VICENTE PASSOS MAIA FILHO,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,LEGENDA PMDB,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AGUDO,CARLOS ELY CASTRO,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
AGUDO,GUIDO MOESCH,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
AGUDO,RUBENS ARDENGHI,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
AGUDO,CLOVIS ILGENFRITZ DA SILVA,1982,DEPUTADO FEDERAL,1,"0,00%",PT,0
AJURICABA,IRINEU COLATO,1982,DEPUTADO FEDERAL,1578,"0,28%",PDS,0
AJURICABA,WALDIR WALTER,1982,DEPUTADO FEDERAL,1322,"0,23%",PMDB,0
AJURICABA,ERANI GUILHERME MULLER,1982,DEPUTADO FEDERAL,1265,"0,22%",PMDB,0
AJURICABA,EMIDIO ODOSIO PERONDI,1982,DEPUTADO FEDERAL,672,"0,12%",PDS,0
AJURICABA,VOTOS EM BRANCO,1982,DEPUTADO FEDERAL,330,"0,06%",BRANCO,0
AJURICABA,IDILIO SANTI,1982,DEPUTADO FEDERAL,170,"0,03%",PMDB,0
AJURICABA,VOTOS NULOS,1982,DEPUTADO FEDERAL,61,"0,01%",NULO,0
AJURICABA,JOSE ALBERTO FOGACA DE MEDEIROS,1982,DEPUTADO FEDERAL,38,"0,01%",PMDB,0
AJURICABA,SYNVAL SEBASTIAO DUARTE GUAZZELI,1982,DEPUTADO FEDERAL,30,"0,01%",PMDB,0
AJURICABA,NELSON MARCHEZAN,1982,DEPUTADO FEDERAL,24,"0,00%",PDS,0
AJURICABA,JAHIR SOUZA PINTO,1982,DEPUTADO FEDERAL,24,"0,00%",PDS,0
AJURICABA,AMAURY MULLER,1982,DEPUTADO FEDERAL,15,"0,00%",PDT,1
AJURICABA,AUGUSTO TREIN,1982,DEPUTADO FEDERAL,12,"0,00%",PDS,0
AJURICABA,MARCUS VINICIUS PRATINI DE MORAES,1982,DEPUTADO FEDERAL,11,"0,00%",PDS,0
AJURICABA,HERMES ZANETI,1982,DEPUTADO FEDERAL,9,"0,00%",PMDB,0
AJURICABA,PEDRO CHAFIK GERMANO,1982,DEPUTADO FEDERAL,9,"0,00%",PDS,0
AJURICABA,RUBENS ARDENGHI,1982,DEPUTADO FEDERAL,9,"0,00%",PDS,0
AJURICABA,BALTHAZAR DE BEM E CANTO,1982,DEPUTADO FEDERAL,8,"0,00%",PDS,0
AJURICABA,PAULO MINCARONE,1982,DEPUTADO FEDERAL,6,"0,00%",PMDB,1
AJURICABA,MARIA JUSSARA GAUTO GUARIGLIA,1982,DEPUTADO FEDERAL,6,"0,00%",PMDB,0
AJURICABA,JOSE ALCEBIADES DE OLIVEIRA,1982,DEPUTADO FEDERAL,5,"0,00%",PDS,0
AJURICABA,VICTOR JOSE FACCIONI,1982,DEPUTADO FEDERAL,5,"0,00%",PDS,0
AJURICABA,LEGENDA PDS,1982,DEPUTADO FEDERAL,5,"0,00%",PDS,0
AJURICABA,ANTONIO CARLOS ROSA FLORES,1982,DEPUTADO FEDERAL,4,"0,00%",PMDB,0
AJURICABA,RUY GERMANO NEDEL,1982,DEPUTADO FEDERAL,4,"0,00%",PMDB,0
AJURICABA,LEGENDA PMDB,1982,DEPUTADO FEDERAL,4,"0,00%",PMDB,0
AJURICABA,MAGNUS FRANCISCO ANTUNES GUIMARAES,1982,DEPUTADO FEDERAL,4,"0,00%",PDT,0
AJURICABA,JOSE HUGO MARDINI,1982,DEPUTADO FEDERAL,4,"0,00%",PDS,0
AJURICABA,ELOAR GUAZZELLI,1982,DEPUTADO FEDERAL,3,"0,00%",PMDB,0
AJURICABA,ANTONIO PINHEIRO MACHADO NETTO,1982,DEPUTADO FEDERAL,3,"0,00%",PMDB,0
AJURICABA,HANS WILHELM CREMER,1982,DEPUTADO FEDERAL,3,"0,00%",PMDB,0
AJURICABA,JETHRO JAIRO DE MACEDO BRUM,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,0
AJURICABA,FERES JORGE ROCHA E SILVA UEQUED,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,0
AJURICABA,SIEGFRIED EMANUEL HEUSER,1982,DEPUTADO FEDERAL,2,"0,00%",PMDB,0
AJURICABA,ARY RODRIGUES ALCANTARA,1982,DEPUTADO FEDERAL,2,"0,00%",PDS,0
AJURICABA,TULIO BARCELLOS,1982,DEPUTADO FEDERAL,2,"0,00%",PDS,0
AJURICABA,HELIO DOURADO,1982,DEPUTADO FEDERAL,2,"0,00%",PDS,0
AJURICABA,IRINEU LUIZ WOLKWEIS,1982,DEPUTADO FEDERAL,2,"0,00%",PDS,0
AJURICABA,JOAO GILBERTO LUCAS COELHO,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AJURICABA,EDIR PEDRO DE OLIVEIRA,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AJURICABA,OMAR FERRI,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AJURICABA,RICARDO BALDINO E SOUZA,1982,DEPUTADO FEDERAL,1,"0,00%",PMDB,0
AJURICABA,CESAR PRIETO,1982,DEPUTADO FEDERAL,1,"0,00%",PDT,0
AJURICABA,ENGELBERTO JOAO RIEGER,1982,DEPUTADO FEDERAL,1,"0,00%",PDT,0
AJURICABA,ENILTON GRILL,1982,DEPUTADO FEDERAL,1,"0,00%",PDT,0
AJURICABA,WALDEMAR RODRIGUES DA SILVA,1982,DEPUTADO FEDERAL,1,"0,00%",PDT,0
AJURICABA,JOSE ARLINDO KUNZLER,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
AJURICABA,CLOVIS STENZEL,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
AJURICABA,GUIDO MOESCH,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
AJURICABA,JOSE MARIANO DA ROCHA FILHO,1982,DEPUTADO FEDERAL,1,"0,00%",PDS,0
ALECRIM,ERANI GUILHERME MULLER,1982,DEPUTADO FEDERAL,2227,"0,39%",PMDB,0
ALECRIM,IRINEU COLATO,1982,DEPUTADO FEDERAL,1252,"0,22%",PDS,0
